genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NME6,164.1377583,0.080163331,0.055460401,1.445415635,0.148341174,0.293256529
CEP152,83.62517868,0.129898326,0.091091616,1.426018466,0.153863012,0.300859464
YARS2,343.7122712,0.095124959,0.067061269,1.418478371,0.156051149,0.303596985
GLMN,98.12513376,0.106769367,0.076950865,1.387500543,0.165289186,0.315979082
TPD52L2,3053.85349,0.098523896,0.071564189,1.376720643,0.168598634,0.320356463
RDM1,10.01951229,0.294785095,0.21584376,1.365733693,0.172022565,0.324543651
GINS2,143.3787727,0.176948064,0.130200011,1.359047994,0.174131381,0.327337254
XYLB,79.30396521,0.165527891,0.123551248,1.339750862,0.180326356,0.33533484
POLE2,42.05170779,0.179975234,0.134819884,1.334930933,0.181898953,0.337377032
EME1,40.74546719,0.202232725,0.152669451,1.324644346,0.18528914,0.342052336
H2AFZ,2728.701592,0.093122018,0.07066147,1.317861331,0.187550072,0.344850103
DISP1,284.2494104,-0.111840609,0.085139519,-1.313615703,0.188975562,0.346740341
TRMT10C,404.5959433,0.080710907,0.061451798,1.313401894,0.189047559,0.346740341
RPN2,7022.396892,0.092396621,0.070682344,1.307209347,0.191141622,0.349333655
SASS6,88.59280946,0.109536337,0.084652358,1.293954946,0.195680984,0.355242159
BLM,100.584995,0.165068918,0.12986329,1.271097614,0.203693924,0.365376471
CCDC18,48.62438961,0.146476829,0.116339097,1.259050767,0.208011996,0.3706053
FANCD2,222.5691072,0.147121027,0.117023888,1.25718799,0.208685571,0.371411706
CHAF1A,324.3838066,0.106927451,0.086357883,1.238189806,0.21564569,0.379886511
FANCH,245.4626849,0.18254934,0.148579845,1.228627881,0.219211357,0.383863812
ZKSCAN3,54.75997595,-0.088401488,0.072426125,-1.220574593,0.222247131,0.387239537
MCM6,777.6891405,0.097811319,0.081275668,1.203451435,0.228801674,0.394373006
SETD8,731.706402,0.072000235,0.059902621,1.201954666,0.229381093,0.394871065
SAE1,1863.901056,0.0731573,0.060990248,1.19949176,0.230336787,0.395721699
IMMT,1684.301226,0.047448162,0.040789835,1.163234977,0.244734179,0.411862653
DKC1,1225.327175,0.072586158,0.062739432,1.156946367,0.247294273,0.414811859
DONSON,196.0542072,0.077777677,0.068033496,1.143226238,0.252944671,0.421261
CCT5,4016.807755,0.081997906,0.072030315,1.138380502,0.254961632,0.423485499
PAIP1,949.5506799,0.058962032,0.05204396,1.132927485,0.257244707,0.425976592
DNAJC21,1023.073668,0.048130643,0.043213581,1.113785121,0.265371382,0.434396807
CCNE1,119.7908772,0.16019926,0.144985737,1.10493117,0.269189415,0.438645658
CDC7,104.5792779,0.110954167,0.100703468,1.101790924,0.270552577,0.439859065
CHAC2,39.89660731,0.11740998,0.107313081,1.094088238,0.273916281,0.443533762
SNX5,1514.71069,0.056388584,0.052728055,1.069422804,0.284879196,0.455619439
PSRC1,103.4453799,0.118642381,0.110983752,1.069006755,0.285066626,0.455779107
CDT1,223.5865702,0.166361925,0.158667795,1.048492069,0.294411955,0.466211043
RFC3,205.8964386,0.07946078,0.076505657,1.038626196,0.298978618,0.470638059
ATAD5,62.18916821,0.105596884,0.103426537,1.02098443,0.307261815,0.479675023
AIMP2,427.5128016,0.068648258,0.067539934,1.016409914,0.309434226,0.481986588
STYX,394.3815921,0.056799592,0.056128186,1.011962019,0.311556214,0.48392762
AURKB,154.0962449,0.174357154,0.177647956,0.981475711,0.326358206,0.499657467
MTERF3,287.3336725,0.052904887,0.054029674,0.979182055,0.327490034,0.500644128
DROSHA,1028.889043,-0.049262857,0.05046249,-0.976227234,0.32895187,0.502173058
CHAF1B,132.3838707,0.090297389,0.095293458,0.947571759,0.343347509,0.517357627
RCCD1,243.2432307,0.086422997,0.092266841,0.936663666,0.348931592,0.523213457
DHFR,188.8932391,0.087349676,0.093290415,0.936319937,0.349108486,0.523393814
GSG2,34.61097991,0.121595782,0.131363569,0.925643111,0.354631481,0.528801298
AP2M1,6978.010792,0.052348071,0.057088826,0.916958277,0.359164504,0.532654966
CDC25A,78.35708323,0.126243446,0.139778604,0.903167167,0.366437181,0.53987438
NSUN2,1373.428857,0.050284709,0.057113761,0.880430714,0.378626024,0.551373961
FLJ23590,724.4879671,-0.05258102,0.06290305,-0.835905727,0.403207941,0.575699986
GGH,307.8203077,0.112265684,0.137923333,0.813971662,0.415661185,0.587537292
BMERB1,738.3443225,-0.095794153,0.12077102,-0.793188246,0.427668155,0.598741893
RMI2,206.286685,0.102867092,0.130357381,0.78911598,0.430044223,0.600840085
POLA2,289.8747772,0.053187659,0.069314266,0.767340718,0.442878965,0.612652438
MTCH2,1283.010033,0.038591139,0.050565046,0.763197945,0.445345354,0.615336691
CENPH,108.54829,0.079094076,0.104775554,0.754890554,0.450314654,0.620025166
SNX8,491.237871,0.063343615,0.086226819,0.734616162,0.462573292,0.631356033
RAD1,431.9363968,-0.039293476,0.054045571,-0.727043409,0.467199364,0.635231726
WDR62,124.5548809,0.106026626,0.148540238,0.7137906,0.475356673,0.643060059
CHEK2,148.044654,0.071027074,0.101854542,0.697338301,0.485591104,0.651660583
CENPW,146.7829679,0.091783581,0.133058054,0.689801015,0.490319331,0.655342231
ZNF695,11.54676037,0.17114604,0.248481309,0.688768266,0.490969109,0.655926216
CENPJ,137.8364416,-0.051353729,0.076181058,-0.674101024,0.500247089,0.664337332
NOM1,455.8883665,0.038626657,0.057464152,0.672187017,0.501464645,0.6654763
FANCE,115.9076782,-0.059441072,0.088515973,-0.671529333,0.501883379,0.665840833
FAAP24,36.43006357,0.078085687,0.11763383,0.66380298,0.506816418,0.670029714
MMS22L,129.1360887,0.057404676,0.087102806,0.659045084,0.509866818,0.67214013
TMEM194B,130.0933037,0.060503784,0.095040631,0.636609666,0.524379128,0.684294592
SNW1,1376.954341,0.024311946,0.038619927,0.629518167,0.529009879,0.688164999
FIGNL1,166.6373855,0.040630032,0.067199571,0.604617433,0.545433221,0.701276702
RIBC2,21.01864281,-0.119659286,0.199370626,-0.600185132,0.548382861,0.703308452
SLC7A5,1765.093265,0.100964382,0.171751008,0.587853215,0.556630821,0.709717551
XPO6,1933.0135,-0.028157097,0.048493796,-0.580632967,0.561487848,0.713304256
SAAL1,184.2441357,0.037981511,0.067009075,0.566811451,0.57084229,0.720764404
GEMIN2,136.9125123,-0.030166654,0.054097161,-0.557638403,0.577091327,0.725582663
TIMELESS,513.7282769,-0.047129575,0.085048865,-0.554147024,0.57947823,0.727396638
LRR1,160.4900975,0.034218609,0.069936738,0.48927946,0.624643861,0.762958448
DNMT1,1141.774071,-0.027172083,0.059520413,-0.456517048,0.648018214,0.78144243
MCM7,1996.757756,-0.043111969,0.094868631,-0.454438614,0.649513165,0.782484193
SF3B3,3023.236691,0.019404484,0.044052109,0.440489326,0.659582742,0.789620259
TRAIP,65.43527853,0.051498627,0.126126186,0.408310349,0.683045842,0.8070495
SPATA18,243.9926855,-0.04475854,0.11485839,-0.389684546,0.696769825,0.817107677
TARDBP,3062.640034,0.009487249,0.027916314,0.339846045,0.73397247,0.842823934
SRSF8,1160.801195,-0.015594155,0.047886955,-0.325645165,0.744692837,0.851271609
HMGB3,689.8481381,-0.03670917,0.115464105,-0.317927116,0.750540224,0.854386329
ACVR2A,449.7172939,-0.019194073,0.064661886,-0.296837513,0.766590564,0.86449497
DSN1,288.1151427,0.02545783,0.087187158,0.291990595,0.770293815,0.866768052
FBXO43,10.47726804,0.039882235,0.136854147,0.291421461,0.770729003,0.866941189
PIF1,60.55146309,-0.043057896,0.152853876,-0.281693192,0.778178775,0.871352996
E2F2,72.57811178,0.044159297,0.157258726,0.280806653,0.778858701,0.871526106
GEN1,211.9981608,0.021453527,0.084051872,0.255241515,0.798536569,0.884393001
SUV39H2,108.5731593,-0.015182564,0.069193079,-0.219423158,0.826320432,0.899379844
VRK1,215.8521206,-0.016258749,0.074440969,-0.218411306,0.827108657,0.899725702
CAD,1019.339168,0.014349944,0.06622613,0.216680996,0.828456959,0.900393744
TTF2,263.0838302,-0.021878321,0.103571232,-0.21123936,0.832700499,0.902695857
KIAA0020,533.8075565,0.015638091,0.074584226,0.209670216,0.833925073,0.903402543
MND1,42.8589246,0.031112191,0.154049642,0.201962114,0.839946343,0.906874553
CENPM,152.4642163,-0.030554469,0.178947037,-0.170745881,0.864423585,0.923456903
TIPIN,67.01450961,0.011933518,0.078319967,0.152368778,0.878896081,0.93107788
C14orf123,1186.849156,0.007366727,0.064402319,0.114386057,0.908931766,0.947732947
SPC25,88.96002712,-0.008642446,0.139789426,-0.061824751,0.950702393,0.972672407
LYAR,316.6838145,0.004022853,0.078777939,0.051065725,0.959273148,0.97675866
MCM5,1031.164477,-0.003738954,0.095433428,-0.039178657,0.96874795,0.982241821
PRIM1,94.29863897,-0.003537663,0.093960997,-0.037650338,0.969966473,0.983045389
MGC20372,1630.888035,-0.001916413,0.057411472,-0.033380315,0.973371307,0.985107684
DDX19A,831.9527362,-0.000448442,0.034706413,-0.012921016,0.989690808,0.993775553
